Day,Ituri sim,Ituri data,Ituri error,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
19,123,74,0.662162162162,0,6443,1.0,1,41090,0.999975663178,0,324,1.0,0,208,1.0,214,46858,0.995433010372,0,9,1.0,0,889,1.0,2335,13193,0.823012203441,630,8119,0.922404236975,380,1018,0.626719056974,4.179822802348051,118225,27427,27427,3683,0
20,144,78,0.846153846154,0,6782,1.0,1,41089,0.999975662586,0,341,1.0,0,219,1.0,254,47241,0.994623314494,0,9,1.0,0,936,1.0,2586,13888,0.813796082949,725,8363,0.913308621308,422,1085,0.611059907834,3.9691786679437624,120031,29233,29233,4132,0
21,170,82,1.07317073171,0,7121,1.0,2,41089,0.999951325172,0,358,1.0,0,230,1.0,328,47718,0.993126283583,0,10,1.0,0,983,1.0,2874,14582,0.802907694418,825,8714,0.905324764746,471,1112,0.576438848921,3.7660651902182622,121999,31201,31201,4670,0
22,191,86,1.22093023256,0,7460,1.0,2,41088,0.999951323988,0,375,1.0,0,241,1.0,402,48372,0.991689407095,0,10,1.0,0,1030,1.0,3171,15277,0.79243306932,935,8844,0.894278606965,539,1202,0.551580698835,3.584385452134872,123985,33187,33187,5240,0
23,217,90,1.41111111111,0,7799,1.0,3,41087,0.999926984204,0,392,1.0,0,252,1.0,483,49014,0.990145672665,0,11,1.0,0,1077,1.0,3460,15971,0.78335733517,1026,8890,0.884589426322,594,1328,0.552710843373,3.4284168256770995,125911,35113,35113,5783,0
24,244,94,1.59574468085,0,8138,1.0,7,41086,0.999829625663,0,410,1.0,0,263,1.0,587,49640,0.988174858985,0,11,1.0,0,1124,1.0,3792,16665,0.772457245725,1136,8987,0.873595193057,655,1434,0.543235704324,3.2852323635774816,127852,37054,37054,6421,0
25,274,98,1.79591836735,0,8477,1.0,10,41085,0.999756602166,0,427,1.0,0,274,1.0,692,50403,0.986270658493,0,37,1.0,0,1170,1.0,4108,17360,0.7633640553,1258,9142,0.862393349377,722,1462,0.506155950752,3.1485039732222706,129935,39137,39137,7064,0
26,304,102,1.98039215686,0,8816,1.0,17,41084,0.999586213611,0,444,1.0,0,285,1.0,779,50932,0.984705096992,0,63,1.0,0,1217,1.0,4412,18054,0.75562202282,1379,9224,0.850498699046,797,1499,0.468312208139,3.040809344606813,131720,40922,40922,7688,0
27,342,106,2.22641509434,0,9156,1.0,24,41084,0.99941583098,0,461,1.0,0,296,1.0,900,51507,0.982526646864,1,89,0.988764044944,0,1264,1.0,4750,18749,0.746653154835,1520,9306,0.836664517516,862,1512,0.429894179894,2.9393194795469437,133530,42732,42732,8399,0
28,375,110,2.40909090909,0,9495,1.0,30,41083,0.999269770951,0,478,1.0,0,307,1.0,1007,51877,0.980588700195,1,115,0.991304347826,7,1311,0.994660564455,5080,19443,0.738723448028,1642,9388,0.825095867064,930,1523,0.389363099146,2.855454299377425,135130,44332,44332,9072,0
29,407,114,2.5701754386,0,9834,1.0,37,41082,0.999099362251,0,495,1.0,0,318,1.0,1122,52322,0.978555865601,1,118,0.991525423729,17,1358,0.987481590574,5443,20137,0.729701544421,1792,9469,0.810750871264,1008,1535,0.34332247557,2.7735951635351426,136782,45984,45984,9827,0
30,437,117,2.73504273504,0,10173,1.0,44,41081,0.998928945254,0,512,1.0,0,329,1.0,1248,53074,0.976485661529,1,121,0.99173553719,39,1405,0.972241992883,5794,20832,0.721870199693,1923,9551,0.798659826196,1085,1540,0.295454545455,2.686943279721301,138735,47937,47937,10571,0
31,476,121,2.93388429752,0,10512,1.0,52,41080,0.998734177215,0,529,1.0,0,340,1.0,1377,53467,0.974245796473,1,123,0.991869918699,46,1452,0.968319559229,6139,21526,0.714809997213,2062,9633,0.785944150317,1160,1769,0.344262295082,2.611830204606665,140552,49754,49754,11313,0
32,514,125,3.112,0,10851,1.0,64,41079,0.998442026339,0,546,1.0,0,351,1.0,1495,53937,0.972282477705,1,126,0.992063492063,66,1498,0.955941255007,6489,22221,0.707978938842,2189,9715,0.774678332476,1229,1998,0.384884884885,2.539797479138028,142447,51649,51649,12047,0
33,559,129,3.33333333333,0,11190,1.0,77,41079,0.99812556294,0,563,1.0,0,362,1.0,1647,54205,0.969615349138,1,126,0.992063492063,87,1545,0.943689320388,6822,22915,0.702291075715,2339,9796,0.761229073091,1303,2227,0.414907947912,2.4777742364873734,144137,53339,53339,12835,0
34,611,133,3.59398496241,0,11529,1.0,90,41078,0.997809046205,0,580,1.0,0,373,1.0,1789,54677,0.967280575013,1,126,0.992063492063,113,1592,0.929020100503,7194,23610,0.695298602287,2482,9878,0.748734561652,1376,2456,0.439739413681,2.4139479306224425,146032,55234,55234,13656,0
35,651,137,3.75182481752,0,11868,1.0,103,41077,0.997492514059,0,598,1.0,0,384,1.0,1941,54985,0.96469946349,1,126,0.992063492063,134,1639,0.918242830995,7568,24304,0.688610928242,2634,9960,0.735542168675,1466,2686,0.454206999255,2.3574412807639646,147764,56966,56966,14498,0
