Time,Belom,
0,0,0
1,0,1408
2,0,2816
3,0,4225
4,1,5633
5,5,7042
6,17,8450
7,27,9858
8,42,11267
9,76,12675
10,105,14084
11,145,15492
12,186,16900
13,230,18309
14,283,19717
15,325,21126
16,394,22534
17,464,23943
18,531,23957
19,603,23971
20,681,23985
21,770,23999
22,899,24013
23,1035,24027
24,1193,24041
25,1332,24055
26,1515,24069
27,1690,24083
28,1862,24097
29,2079,24111
30,2296,24125
31,2470,24139
32,2741,24153
33,3048,24167
34,3345,24181
35,3643,24195
36,3927,24209
37,4215,24223
38,4487,24237
39,4790,24251
40,5100,24265
41,5404,24279
42,5733,24293
43,6038,24307
44,6330,24321
45,6645,24335
46,6971,24349
47,7270,24363
48,7549,24377
49,7834,24391
50,8128,24405
51,8413,24419
52,8680,24433
53,8972,24447
54,9233,24461
55,9518,24475
56,9796,24489
57,10101,24503
58,10355,24517
59,10628,24531
60,10895,24545
61,11169,24559
62,11403,24573
63,11659,24587
64,11904,24601
65,12153,24615
66,12420,24629
67,12687,24643
68,12887,24657
69,13106,24671
70,13354,24685
71,13598,24699
72,13834,24713
73,14041,24727
74,14248,24741
75,14442,24755
76,14637,24769
77,14842,24783
78,15046,24797
79,15241,24811
80,15461,24825
81,15630,24839
82,15804,24853
83,15974,24867
84,16138,24881
85,16313,24895
86,16474,24909
87,16628,24923
88,16800,24937
89,16949,24952
90,17128,24962
91,17302,24973
92,17463,24984
93,17617,24994
94,17778,25005
95,17953,25016
96,18096,25027
97,18262,25037
98,18432,25048
99,18591,25059
100,18741,25070
101,18925,25080
102,19098,25091
103,19241,25102
104,19399,25113
105,19565,25123
106,19714,25134
107,19864,25145
108,20006,25156
109,20194,25166
110,20380,25177
111,20547,25188
112,20692,25199
113,20867,25209
114,21031,25220
115,21197,25231
116,21369,25242
117,21541,25252
118,21707,25263
119,21884,25274
120,22054,25285
121,22249,25358
122,22422,25431
123,22590,25504
124,22764,25577
125,22953,25650
126,23125,25724
127,23322,25797
128,23499,25870
129,23692,25943
130,23887,26016
131,24066,26090
132,24273,25896
133,24421,25702
134,24600,25508
135,24767,25315
136,24928,25344
137,25094,25374
138,25284,25404
139,25480,25434
140,25644,25464
141,25812,25493
142,25968,25523
143,26120,25553
144,26264,25583
145,26424,25613
146,26598,25642
147,26771,25672
148,26900,25702
149,26868,25732
150,26884,25762
151,26865,25791
152,26892,25821
153,26872,25851
154,26886,25881
155,26865,25911
156,26888,25940
157,26869,25970
158,26880,26000
159,26874,26030
160,26882,26060
161,26875,26090
162,26882,26104
163,26866,26119
164,26879,26133
165,26877,26148
166,26880,26162
167,26864,26177
168,26894,26192
169,26873,26206
170,26883,26221
171,26864,26235
172,26890,26250
173,26865,26264
